,1,2,5,10,20,50,100
count,997276.0,997276.0,997276.0,997276.0,997276.0,997276.0,997276.0
mean,8.074515362270924,12.445706540101348,19.267739647705948,24.86703084217544,32.206135435845326,41.781041906577215,51.145866061468496
std,0.3796450085132823,0.5851682922604183,0.9059244864112498,1.169190188167852,1.5142578858482296,1.9644478087729094,2.4047601478417873
min,6.920801149294582,10.667421667062337,16.514699485400264,21.313944913180443,27.604413285312997,35.81122455929542,43.837970793125756
5%,7.445517816469546,11.476197099811397,17.7667999122791,22.929911316193582,29.697306207090705,38.52633600273329,47.161648707586124
25%,7.816067921157203,12.047346903166208,18.651021766251027,24.071091990007766,31.175288020476096,40.44372283746307,49.50879961053368
50%,8.074821831109563,12.446178917830325,19.268470956215268,24.867974672203715,32.207357822141134,41.78262770916916,51.14780730666649
75%,8.333826265300331,12.845397079651583,19.88651795738979,25.665628892217562,33.24042686861408,43.122828901859734,52.78840188183388
95%,8.70220981546204,13.413207450158312,20.76556989011373,26.800137242579403,34.70976712948997,45.02900504450705,55.12182932242767
max,9.227652454622149,14.223101864527708,22.01940266111154,28.418339416649406,36.80555567422797,47.74787298162578,58.45010571298854
