Number,Deviate,Gauged_value
    1, -0.104141E+01,  0.533000E+01
    2, -0.616474E+00,  0.701000E+01
    3, -0.312528E+00,  0.879000E+01
    4, -0.406177E-01,  0.107500E+02
    5,  0.227740E+00,  0.125600E+02
    6,  0.511457E+00,  0.172000E+02
    7,  0.831678E+00,  0.182600E+02
    8,  0.122336E+01,  0.199900E+02
    9,  0.176828E+01,  0.253000E+02
   10,  0.280305E+01,  0.329700E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.200000E+01, -0.134800E+02,  0.547000E+01
    2, -0.874591E+00,  0.566000E+01, -0.203000E+01,  0.865000E+01
    3, -0.475885E+00,  0.819000E+01,  0.331000E+01,  0.118600E+02
    4, -0.940478E-01,  0.108700E+02,  0.650000E+01,  0.157100E+02
    5,  0.165703E+00,  0.128400E+02,  0.824000E+01,  0.185300E+02
    6,  0.366513E+00,  0.144500E+02,  0.956000E+01,  0.209100E+02
    7,  0.902720E+00,  0.191600E+02,  0.129700E+02,  0.293000E+02
    8,  0.149994E+01,  0.252000E+02,  0.170700E+02,  0.468700E+02
    9,  0.225037E+01,  0.341700E+02,  0.221100E+02,  0.951700E+02
   10,  0.297020E+01,  0.444700E+02,  0.261300E+02,  0.191620E+03
   11,  0.390194E+01,  0.608400E+02,  0.303800E+02,  0.485000E+03
   12,  0.460015E+01,  0.758300E+02,  0.325700E+02,  0.100644E+04
Number,Deviate,Expected_probability_quantitle
    1, -0.118114E+01,  0.200000E+01
    2, -0.803611E+00,  0.566000E+01
    3, -0.400464E+00,  0.819000E+01
    4, -0.468536E-01,  0.108700E+02
    5,  0.200969E+00,  0.128400E+02
    6,  0.380829E+00,  0.144500E+02
    7,  0.890310E+00,  0.191600E+02
    8,  0.148185E+01,  0.252000E+02
    9,  0.222797E+01,  0.341700E+02
   10,  0.277912E+01,  0.444700E+02
