Number,Deviate,Gauged_value
    1, -0.104141E+01,  0.121400E+02
    2, -0.616474E+00,  0.126100E+02
    3, -0.312528E+00,  0.149400E+02
    4, -0.406177E-01,  0.150700E+02
    5,  0.227740E+00,  0.164600E+02
    6,  0.511457E+00,  0.169600E+02
    7,  0.831678E+00,  0.174400E+02
    8,  0.122336E+01,  0.289100E+02
    9,  0.176828E+01,  0.334500E+02
   10,  0.280305E+01,  0.379700E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.111600E+02,  0.422000E+01,  0.121700E+02
    2, -0.874591E+00,  0.124600E+02,  0.891000E+01,  0.136900E+02
    3, -0.475885E+00,  0.136200E+02,  0.111200E+02,  0.156300E+02
    4, -0.940478E-01,  0.151100E+02,  0.127400E+02,  0.185000E+02
    5,  0.165703E+00,  0.164000E+02,  0.135200E+02,  0.209100E+02
    6,  0.366513E+00,  0.175900E+02,  0.141300E+02,  0.232800E+02
    7,  0.902720E+00,  0.218000E+02,  0.163400E+02,  0.348700E+02
    8,  0.149994E+01,  0.290000E+02,  0.196000E+02,  0.707300E+02
    9,  0.225037E+01,  0.441000E+02,  0.246000E+02,  0.224150E+03
   10,  0.297020E+01,  0.693000E+02,  0.304200E+02,  0.703630E+03
   11,  0.390194E+01,  0.130590E+03,  0.383700E+02,  0.362546E+04
   12,  0.460015E+01,  0.214740E+03,  0.414700E+02,  0.129215E+05
Number,Deviate,Expected_probability_quantitle
    1, -0.111334E+01,  0.111600E+02
    2, -0.711420E+00,  0.124600E+02
    3, -0.332064E+00,  0.136200E+02
    4, -0.214971E-02,  0.151100E+02
    5,  0.226540E+00,  0.164000E+02
    6,  0.408815E+00,  0.175900E+02
    7,  0.902720E+00,  0.218000E+02
    8,  0.149319E+01,  0.290000E+02
    9,  0.221931E+01,  0.441000E+02
   10,  0.278901E+01,  0.693000E+02
